서비 딜리플레이트 베어로보틱스 미국 자율주행 로보틱스 엑사로보틱스 인공지능 외식업 롯데백화점 55조 인건비 그동안
ai 아리랑 위성영상 인공지능 항우연 온라인 항공기 팀명 php 김경태 최우수상 한국항공우주연구원 15종 한국정보화진흥원 참가자 정확도 위성영상처리 객체들 객체 대회 검출 위성 영상 데이터 개최 알고리즘 가공 지능 학습
에듀테크 서울교대 코칭 공모전 숙명여대 임채성 참가상 코로나바이러스 차세대 인지요 박서기 스타트업 인공지능 시상금 50만 코로나19 감염증 이재화
산학연공동연구법인 협동조합 이산화탄소 권석민 사업화 산학연 인공지능 3개 실시간 상용화 연공동 반도체 충북대학교 울산과학기술원 한국전자통신연구원 생산시스템 파생창업 투자유치 자동화 big 정통부 big선도모델 일자리 기후변화 과학기술일자리혁신관 기술창업법인 과학기술인협동조합 도금공정 혁신관 과학기술정보통신부 파이프라인
코스닥 순매도 보합세 통신서비스 컴퓨터서비스 업종별 상승세 외국인 상승중 투자자 종목 서비스 매수 개인 동향 하락 시장 유통 강세 업종 기관 약세 상승 통신 컴퓨터
코스피 외국인 상승세 의료정밀 의약품 순매도 상승중 업종별 투자자 보합세 매수 종목 동향 하락 시장 목재 종이 강세 의료 은행 정밀 약세 기관 업종 상승 개인
적극행정 코로나19 우수사례 크라우드소싱 최우수 일자리 전문가 관계자 대국민 활성화 와이파이 유통망 단말기 이용자 과학기술정보통신부
기아자동차 임단협 현재주가 거래량 거래일 사업장 생산 공시 중단 분야 대비 직전 하락 전문 예정 일자 주가 파업 재개 사유 이동
에스모 지분변동 특별관계자 관계자 관계인 특수관계인 보고서 주식등 대량보유상황보고서 덕일 지분율 지분 공시 보유 변동 주식 상태 일명 특별 특수 포함 개인 매입 매각 법인 이동 추가 상황 정지 거래 대량 전문 상장 회사
자동차 지슨 콜센터 국무총리 이동호 삼성동 서울 경쟁력 삼한씨원 동희오토 한삼화 금탑산업훈장 금탑 소상공인들 일자리 소상공인
박태종 국제표준화 동탑산업훈장 반세기 밑바탕 플렉서블 박애자 엘타워 유공자 유전자 삼성전자 성윤모 김대균 5g 산업원부 50회 성균관대 평가법 서울 안동대 이상근 국제표준 김병균
양평 경의중앙선 용문역 용문산 입주민 반도유보 다문리 예약자 용문 계약금 양평군 고속도로 서울 교육프로그램 수도권 견본주택 계획도시 반도건설 다문지구 김지호 세권 양평역 만큼 양근리 실수요자 1000만 출입구
민팃 휴대폰 중고폰 atm 35만 고객들 수거량 아이들 미니atm 4억 재료비 론칭 sk네트웍스 포렌식전문기관 포렌식 홈플러스 롯데마트 이마트 한국정보통신진흥협회 평가서
1157억 현대미포조선 현재주가 450원 450원 싱가포르 거래량 매출액 계약기간 공사수주 거래일 계약규모 계약체결 계약 대비 공시 선사 직전 체결 소재 전문 상승 공사 수주 주가 기간 수준 규모 이동
스타트업 지니로봇 에듀테크 투자유치 올인원 핀란드 한국엔젤투자협회 이은승 그동안 온라인 지니봇 액셀러레이팅 education 태국 러시아 베트남 영국 요르단
삼익악기 지분변동 특별관계자 현재주가 관계자 관계인 특수관계인 보고서 주식등 대량보유상황보고서 거래일 거래량 지분율 스페코 지분 변동 공시 보유 주식 일명 직전 특별 특수 포함 개인 매입 매각 법인 이동 추가 주가 상황 대량 전문 대비 상장 회사
대유 지분변동 특별관계자 현재주가 관계자 관계인 특수관계인 보고서 거래량 거래일 주식등 대량보유상황보고서 지분율 권옥술 지분 공시 보유 변동 주식 대비 직전 일명 특별 특수 포함 개인 상승 매입 매각 법인 이동 주가 추가 상황 대량 전문 상장 회사
