"title" "point"
"579" "더 헌트" "8.97"
"580" "아메리칸 뷰티" "8.97"
"581" "무간도 3 - 종극무간" "8.97"
"582" "디스트릭트 9" "8.97"
"583" "조 블랙의 사랑" "8.97"
"584" "맘마미아!2" "8.97"
"585" "루키" "8.97"
"586" "암살" "8.97"
"587" "카" "8.97"
"588" "리틀 보이" "8.97"
"589" "천녀유혼 3 - 도도도" "8.97"
"590" "레인 맨" "8.97"
"591" "영웅본색 2" "8.97"
"592" "불꽃 슛 통키" "8.97"
"593" "씽" "8.97"
"594" "곰돌이 푸 다시 만나 행복해" "8.97"
"595" "마음이..." "8.97"
"596" "오버 더 레인보우" "8.97"
"597" "그날, 바다" "8.97"
"598" "극장판 포켓몬스터 모두의 이야기" "8.96"
"599" "킹콩" "8.96"
"600" "태양의 노래" "8.96"
"601" "선물" "8.96"
"602" "터미널" "8.96"
"603" "분노의 질주: 언리미티드" "8.96"
"604" "흐르는 강물처럼" "8.96"
"605" "분노의 질주: 더 익스트림" "8.96"
"606" "어벤져스: 인피니티 워" "8.96"
"607" "씨민과 나데르의 별거" "8.96"
"608" "배트맨 비긴즈" "8.96"
"609" "더 리더: 책 읽어주는 남자" "8.96"
"610" "카우보이 비밥 - 천국의 문" "8.96"
"611" "오만과 편견" "8.96"
"612" "스타트렉 다크니스" "8.96"
"613" "미스 리틀 선샤인" "8.96"
"614" "본 슈프리머시" "8.96"
"615" "5일의 마중" "8.95"
"616" "불가사리" "8.95"
"617" "선생 김봉두" "8.95"
"618" "김정일리아" "8.95"
"619" "엣지 오브 투모로우" "8.95"
"620" "우리 학교" "8.95"
"621" "우린 액션배우다" "8.95"
"622" "피아노의 숲" "8.94"
"623" "진링의 13소녀" "8.94"
"624" "48미터" "8.94"
"625" "솔드 아웃" "8.94"
"626" "키즈 리턴" "8.94"
"627" "가부와 메이 이야기" "8.94"
"628" "스노우 워커" "8.94"
"629" "러브 액츄얼리" "8.94"
"630" "극장판 소드 아트 온라인 -오디널 스케일-" "8.94"
"631" "스윙걸즈" "8.94"
"632" "내 마음의 풍금" "8.94"
"633" "존 큐" "8.94"
"634" "인비저블 게스트" "8.94"
"635" "천녀유혼 2 - 인간도" "8.94"
"636" "파인딩 포레스터" "8.94"
"637" "가디언즈 오브 갤럭시 VOL. 2" "8.94"
"638" "게임의 법칙" "8.94"
"639" "극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트, 뮤츠의 각성" "8.94"
"640" "리오" "8.94"
"641" "초콜렛 도넛" "8.94"
"642" "A-특공대" "8.94"
"643" "파니 핑크" "8.94"
"644" "비투스" "8.94"
"645" "극장판 나루토 질풍전: 로드 투 닌자" "8.94"
"646" "극장판 슈타인즈 게이트: 부하영역의 데자뷰" "8.94"
"647" "퍼펙트 게임" "8.93"
"648" "앨빈과 슈퍼밴드" "8.93"
"649" "기쿠지로의 여름" "8.93"
"650" "대니쉬 걸" "8.93"
"651" "티벳에서의 7년" "8.93"
"652" "시카고" "8.93"
"653" "미션" "8.93"
"654" "신세계" "8.93"
"655" "소년은 울지 않는다" "8.93"
"656" "스포트라이트" "8.93"
"657" "미쓰 와이프" "8.93"
"658" "인어 공주" "8.93"
"659" "아홉 스님" "8.93"
"660" "죠스" "8.93"
"661" "덤보" "8.92"
"662" "굿바이 레닌" "8.92"
"663" "뜨거운 안녕" "8.92"
"664" "행복을 찾아서" "8.92"
"665" "스카페이스" "8.92"
"666" "나의 특별한 형제" "8.92"
"667" "서치" "8.92"
"668" "시" "8.92"
"669" "원피스 필름 골드" "8.92"
"670" "레이더스" "8.92"
"671" "부러진 화살" "8.92"
"672" "아이언맨" "8.92"
"673" "하이큐!! 끝과 시작" "8.92"
"674" "노무현입니다" "8.92"
"675" "주먹이 운다" "8.92"
"676" "그것만이 내 세상" "8.92"
"677" "캡틴 아메리카: 윈터 솔져" "8.92"
"678" "루이스" "8.91"
"679" "볼케이노" "8.91"
"680" "드래곤 길들이기 2" "8.91"
"681" "마담 프루스트의 비밀정원" "8.91"
"682" "꼬마 니콜라" "8.91"
"683" "캐리비안의 해적 - 망자의 함" "8.91"
"684" "여행자" "8.91"
"685" "극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드" "8.91"
"686" "벤자민 버튼의 시간은 거꾸로 간다" "8.91"
"687" "투 브라더스" "8.91"
"688" "엘리트 스쿼드 2" "8.91"
"689" "서편제" "8.91"
"690" "사랑 후에 남겨진 것들" "8.91"
"691" "다만, 널 사랑하고 있어" "8.91"
"692" "다이 하드 4.0" "8.91"
"693" "하녀" "8.90"
"694" "매디슨 카운티의 다리" "8.90"
"695" "해리가 샐리를 만났을 때" "8.90"
"696" "무서운 집" "8.90"
"697" "내니 맥피 2 - 유모와 마법소동" "8.90"
"698" "페어리테일: 봉황의 무녀" "8.90"
"699" "비밥바룰라" "8.90"
"700" "록키 발보아" "8.90"
"701" "심연" "8.90"
"702" "웰컴 투 동막골" "8.90"
"703" "담보" "8.89"
"704" "100일 동안 100가지로 100퍼센트 행복찾기" "8.89"
"705" "배심원들" "8.89"
"706" "디어 헌터" "8.89"
"707" "좋은 친구들" "8.89"
"708" "미이라 2" "8.89"
"709" "바르다가 사랑한 얼굴들" "8.89"
"710" "노다메 칸타빌레 최종악장" "8.89"
"711" "장수상회" "8.89"
"712" "나는 내일, 어제의 너와 만난다" "8.89"
"713" "앙: 단팥 인생 이야기" "8.89"
"714" "원초적 본능" "8.88"
"715" "쉬즈 더 맨" "8.88"
"716" "스파이더맨" "8.88"
"717" "소림축구" "8.88"
"718" "와일드 카드" "8.88"
