구분,대인,소인,계
2007-09-02,199,56,255
2007-09-03,0,0,0
2007-09-04,80,264,344
2007-09-05,86,460,546
2007-09-06,49,187,236
2007-09-07,71,100,171
2007-09-08,108,366,474
2007-09-09,154,22,176
2007-09-10,,,0
2007-09-11,14,183,197
2007-09-12,51,247,298
2007-09-13,29,402,431
2007-09-14,90,357,447
2007-09-15,407,1613,2020
2007-09-16,253,28,281
2007-09-17,0,0,0
2007-09-18,18,119,137
2007-09-19,31,313,344
2007-09-20,232,288,520
2007-09-21,76,207,283
2007-09-22,0,680,680
2007-09-23,128,26,154
2007-09-24,149,57,206
2007-09-25,210,1113,1323
2007-09-26,191,61,252
2007-09-27,34,100,134
2007-09-28,170,114,284
2007-09-29,120,142,262
2007-09-30,183,112,295
2007-10-01,0,0,0
2007-10-02,177,223,400
2007-10-03,232,36,268
2007-10-04,21,170,191
2007-10-05,156,183,339
2007-10-06,140,37,177
2007-10-07,128,36,164
2007-10-08,0,0,0
2007-10-09,11,78,89
2007-10-10,180,295,475
2007-10-11,8,81,89
2007-10-12,312,372,684
2007-10-13,77,118,195
2007-10-14,126,34,160
2007-10-15,,,0
2007-10-16,24,323,347
2007-10-17,85,174,259
2007-10-18,171,144,315
2007-10-19,291,177,468
2007-10-20,155,1162,1317
2007-10-21,208,73,281
2007-10-22,0,0,0
2007-10-23,30,1174,1204
2007-10-24,53,108,161
2007-10-25,47,199,246
2007-10-26,112,199,311
2007-10-27,0,839,839
2007-10-28,188,169,357
2007-10-29,0,0,0
2007-10-30,88,437,525
2007-10-31,104,555,659
2007-11-01,126,308,434
2007-11-02,41,142,183
2007-11-03,126,360,486
2007-11-04,435,398,833
2007-11-05,,,0
2007-11-06,134,112,246
2007-11-07,70,67,137
2007-11-08,18,139,157
2007-11-09,28,138,166
2007-11-10,92,544,636
2007-11-11,99,73,172
2007-11-12,,,0
2007-11-13,39,16,55
2007-11-14,10,93,103
2007-11-15,13,71,84
2007-11-16,51,117,168
2007-11-17,83,43,126
2007-11-18,144,63,207
2007-11-19,,,0
2007-11-20,16,93,109
2007-11-21,48,49,97
2007-11-22,13,42,55
2007-11-23,84,529,613
2007-11-24,,846,846
2007-11-25,131,149,280
2007-11-26,,0,0
2007-11-27,39,105,144
2007-11-28,107,138,245
2007-11-29,14,73,87
2007-11-30,59,133,192
2007-12-01,80,269,349
2007-12-02,143,62,205
2007-12-03,0,0,0
2007-12-04,15,230,245
2007-12-05,6,660,666
2007-12-06,51,316,367
2007-12-07,22,88,110
2007-12-08,84,92,176
2007-12-09,83,43,126
2007-12-10,0,430,430
