"","title","code","audience_male","audience_female"
"88","아기공룡 둘리 - 얼음별 대모험","17441",NA,NA
"89","업","52120",NA,NA
"90","오세암","34181",NA,NA
"91","패왕별희 디 오리지널","14448","26%","74%"
"92","두 교황","189111","41%","59%"
"93","주먹왕 랄프","87307",NA,NA
"94","토이 스토리","17153",NA,NA
"95","모던 타임즈","10249","22%","78%"
"96","블라인드 사이드","71081",NA,NA
"97","폴란드로 간 아이들","178434","24%","76%"
"98","폴리스 스토리","10746","100%",NA
"99","코러스","39584",NA,NA
"100","쥬라기 공원","13500",NA,NA
"101","메리 포핀스","11608",NA,NA
"102","에이 아이","31268","100%",NA
"103","언더독","144318","28%","72%"
"104","프리 윌리","16466",NA,NA
"105","천공의 성 라퓨타","18782",NA,NA
"106","코코","151728","30%","70%"
"107","뷰티풀 투모로우","169561",NA,NA
"108","바이센테니얼 맨","28788",NA,NA
"109","라따뚜이","65021",NA,NA
"110","해리 포터와 마법사의 돌","30688",NA,NA
"111","다이 하드","10012",NA,NA
"112","록키","10021","80%","20%"
"113","우리들의 일그러진 영웅","12297",NA,NA
"114","로망","182348","42%","58%"
"115","교회오빠","183132","29%","71%"
"116","몬스터 주식회사 3D","32112",NA,NA
"117","오페라의 유령 : 25주년 특별 공연","89752","23%","77%"
"118","허스토리","167787","21%","79%"
"119","라이온 킹","16521",NA,NA
"120","일급 살인","17869",NA,NA
"121","바람계곡의 나우시카","18052","100%",NA
"122","내 이름은 칸","70651",NA,NA
"123","천녀유혼","10670","50%","50%"
"124","영웅: 샐러멘더의 비밀","51708",NA,NA
"125","퀸 락 몬트리올","54900",NA,NA
"126","자백","146534","50%","50%"
"127","동방불패","11104",NA,NA
"128","타잔","25266",NA,NA
"129","뽀로로 극장판 보물섬 대모험","183136","23%","77%"
"130","빌리 엘리어트 뮤지컬 라이브","125724","28%","72%"
"131","늑대와 춤을","10244",NA,NA
"132","엽기적인 그녀","31726",NA,NA
"133","8월의 크리스마스","18817","50%","50%"
"134","인생","16531","100%",NA
"135","취권 2","16216",NA,NA
"136","반지의 제왕: 반지 원정대","31794",NA,NA
"137","온리 더 브레이브","151752","61%","39%"
"138","나, 다니엘 블레이크","150376","42%","58%"
"139","명탐정 코난: 베이커가의 망령","38613",NA,NA
"140","세상에서 가장 아름다운 이별","79762",NA,NA
"141","집으로 가는 길","29953",NA,NA
"142","천국의 아이들","29571","30%","70%"
"143","더 코브: 슬픈 돌고래의 진실","53951",NA,NA
"144","보디가드","17111",NA,NA
"145","말할 수 없는 비밀","68555","40%","60%"
"146","맨발의 꿈","51083",NA,NA
"147","공동경비구역 JSA","15899","36%","64%"
"148","바람","70773",NA,NA
"149","에이트 빌로우","58323",NA,NA
"150","시월애","30306",NA,NA
"151","마이클 잭슨의 디스 이즈 잇","70251",NA,NA
"152","도가니","75413",NA,NA
"153","이웃집 토토로","18781","26%","74%"
"154","플립","76309","38%","62%"
"155","브레이브하트","17162",NA,NA
"156","우리들","146504","26%","74%"
"157","로보캅","10217",NA,NA
"158","터미네이터","10028",NA,NA
"159","또 하나의 약속","100654","51%","49%"
"160","본 얼티메이텀","59075","58%","42%"
"161","토이 스토리 2","27578",NA,NA
"162","패밀리 맨","31159",NA,NA
"163","드래곤 길들이기 3","109193","33%","67%"
"164","신데렐라 맨","41375",NA,NA
"165","가타카","19074",NA,NA
"166","로미오와 줄리엣","10185",NA,NA
"167","피아니스트의 전설","29059","32%","68%"
"168","가위손","10936","26%","74%"
"169","트루맛쇼","84148",NA,NA
"170","쿨 러닝","16218",NA,NA
"171","하이 스쿨 뮤지컬: 졸업반","45774",NA,NA
"172","스파이 지니어스","172780","54%","46%"
"173","인크레더블","36798",NA,NA
"174","친정엄마","71932",NA,NA
"175","광해, 왕이 된 남자","83893",NA,NA
"176","프린스 앤 프린세스","31170",NA,NA
"177","해바라기","44529",NA,NA
"178","땐뽀걸즈","167107","22%","78%"
"179","아저씨","71509",NA,NA
"180","미녀와 야수","13172",NA,NA
"181","천장지구","11003",NA,NA
"182","로마의 휴일","10101","25%","75%"
"183","그랜 토리노","51462",NA,NA
"184","뷰티풀 마인드","34010",NA,NA
"185","사랑은 비를 타고","10105",NA,NA
"186","투게더","36718",NA,NA
"187","러브 앳","190244","100%",NA
"188","위대한 독재자","10341","42%","58%"
"189","랜드 오브 마인","144100","57%","43%"
"190","인셉션","52515","51%","49%"
"191","님아, 그 강을 건너지 마오","130013","40%","60%"
"192","극장판 헬로카봇 : 백악기 시대","175727","21%","79%"
"193","리멤버 타이탄","30897",NA,NA
"194","마이너리티 리포트","31788",NA,NA
"195","갓파 쿠와 여름방학을","68502","50%","50%"
"196","빽 투 더 퓨쳐 2","10003","52%","48%"
"197","킹콩을 들다","50672",NA,NA
"198","크루즈 패밀리","79435",NA,NA
"199","엽문","48602",NA,NA
"200","석양에 돌아오다","13967",NA,NA
"201","타인의 삶","63403",NA,NA
"202","바람과 함께 사라지다","10020","67%","33%"
"203","명탐정 코난: 천공의 난파선","75216",NA,NA
"204","브링 더 소울 : 더 무비","187051","6%","94%"
"205","말아톤","39436",NA,NA
"206","페이트 스테이 나이트 헤븐즈필 III.스프링 송","195687","84%","16%"
"207","인크레더블 2","136990","32%","68%"
"208","1987","158191","50%","50%"
"209","고 녀석 맛나겠다","79749",NA,NA
"210","페이스 오프","18552",NA,NA
"211","스피릿","35100",NA,NA
"212","아름다운 비행","17903",NA,NA
"213","똥파리","68031","100%",NA
"214","미이라","24542",NA,NA
"215","레드슈즈","164907","24%","76%"
"216","잉여들의 히치하이킹","115298","43%","57%"
"217","크림슨 타이드","17486",NA,NA
"218","니모를 찾아서 3D","32116",NA,NA
"219","콘택트","18610",NA,NA
"220","맨 오브 오너","31148",NA,NA
"221","시스터 액트","12393",NA,NA
"222","보루토 - 나루토 더 무비","140711","55%","45%"
"223","러빙 빈센트","144379","31%","69%"
"224","핵소 고지","142305","67%","33%"
"225","백발마녀전","12993",NA,NA
"226","테이큰","47152",NA,NA
"227","마지막 황제","10314","50%","50%"
"228","나비 효과","38091",NA,NA
"229","첫 키스만 50번째","38227","48%","52%"
"230","대부 3","10561",NA,NA
"231","서유기 - 월광보합","18542",NA,NA
"232","쥬만지","17440",NA,NA
"233","벤허","10058","49%","51%"
"234","칼리토","16217",NA,NA
"235","프레데터","10061",NA,NA
"236","대부 2","10072",NA,NA
"237","라이언","134841","38%","62%"
"238","캐치 미 이프 유 캔","34522",NA,NA
"239","스파이더맨: 뉴 유니버스","171725","54%","46%"
"240","어메이징 메리","143469","29%","71%"
"241","이티","10018",NA,NA
"242","스쿨 오브 락","37486",NA,NA
"243","어느 가족","172174","36%","64%"
"244","내 어깨 위 고양이, 밥","154379","33%","67%"
"245","특전 유보트","10647",NA,NA
"246","슈퍼소닉","151106","52%","48%"
"247","톰보이","85825","17%","83%"
"248","라디오 스타","58088",NA,NA
"249","공공의 적","32610",NA,NA
"250","시간을 달리는 소녀","63513","48%","52%"
"251","태극기 휘날리며","36666",NA,NA
"252","빅","10600","100%",NA
"253","혹성탈출","11002",NA,NA
"254","동급생","148338","3%","97%"
"255","밴디트","22082",NA,NA
"256","눈의 여왕4","190395","23%","77%"
"257","빠삐용","10046","50%","50%"
"258","과속스캔들","51143",NA,NA
"259","오베라는 남자","139613","31%","69%"
"260","사랑과 영혼","10173",NA,NA
"261","그린 마일","28677",NA,NA
"262","인어 공주","10669",NA,NA
"263","타짜","57723",NA,NA
"264","눈길","134772","32%","68%"
"265","아메리칸 히스토리 X","24194",NA,NA
"266","서서평, 천천히 평온하게","160135","36%","64%"
"267","스타 이즈 본","168050","42%","58%"
"268","파수꾼","75378","20%","80%"
"269","오아시스","34093","67%","33%"
"270","스팅","10047",NA,NA
"271","헤드윅","31827","20%","80%"
"272","뻐꾸기 둥지 위로 날아간 새","10688","100%",NA
"273","영웅본색","10110","53%","47%"
"274","뽀로로 극장판 공룡섬 대모험","169349","21%","79%"
"275","해피 투게더","19335",NA,NA
"276","도망자","13042",NA,NA
"277","네고시에이터","19469",NA,NA
"278","어바웃 타임","92075","47%","53%"
"279","뚜르: 내 생애 최고의 49일","142304","57%","43%"
"280","내 사랑","154437","28%","72%"
"281","플래툰","10039","89%","11%"
"282","킹 오브 프리즘","152160","4%","96%"
"283","모아나","130849","26%","74%"
"284","불량소녀, 너를 응원해!","138877","52%","48%"
"285","체인질링","63156",NA,NA
"286","어 퓨 굿 맨","12324",NA,NA
"287","바울","173692","39%","61%"
"288","대부","10071",NA,NA
"289","코치 카터","39857",NA,NA
"290","일 포스티노","17796","36%","64%"
"291","조조 래빗","187308","57%","43%"
"292","마틸다","18934",NA,NA
"293","식코","66801",NA,NA
"294","하이 스피드! <U+2013>프리! 스타팅 데이즈","145736","12%","88%"
"295","JFK","10740",NA,NA
"296","제리 맥과이어","17942","60%","40%"
"297","트와이스랜드","180361",NA,NA
"298","귀향","135843","33%","67%"
"299","가디언즈","87308",NA,NA
"300","분노의 역류","10980",NA,NA
"301","마스크","17131",NA,NA
"302","그래도 내가 하지 않았어","62329",NA,NA
"303","흑집사 : 북 오브 더 아틀란틱","158578","8%","92%"
"304","취권","10440",NA,NA
"305","하이큐!! 재능과 센스","169348","12%","88%"
"306","사랑의 블랙홀","13957",NA,NA
"307","파 앤드 어웨이","13234","100%",NA
"308","오즈의 마법사","10448","100%",NA
"309","극장판 공룡메카드: 타이니소어의 섬","180372","20%","80%"
"310","스틸 라이프","113132","32%","68%"
"311","파워 오브 원","11295",NA,NA
"312","비상","64128",NA,NA
"313","길버트 그레이프","16487",NA,NA
"314","귀를 기울이면","24008",NA,NA
"315","저수지 게임","162824","41%","59%"
"316","설리: 허드슨강의 기적","143495","53%","47%"
"317","범죄도시","161242","58%","42%"
"318","즐거운 인생","65463",NA,NA
"319","와이키키 브라더스","31422","50%","50%"
"320","에너미 오브 스테이트","19521",NA,NA
"321","칠곡 가시나들","181717","16%","84%"
"322","코렐라인: 비밀의 문","67696",NA,NA
"323","이집트 왕자","19527",NA,NA
"324","할머니는 일학년","94594",NA,NA
"325","블러드 다이아몬드","62265",NA,NA
"326","국가대표","47385",NA,NA
"327","스텝 업 3D","71987",NA,NA
"328","아름다운 세상을 위하여","31110",NA,NA
"329","후크","16998",NA,NA
"330","클릭","58437",NA,NA
"331","오직 그대만","82219",NA,NA
"332","스피드","16503",NA,NA
"333","혐오스런 마츠코의 일생","58333",NA,NA
"334","짱구는 못말려 극장판: 태풍을 부르는 노래하는 엉덩이 폭탄!","66724",NA,NA
"335","미션 임파서블: 폴아웃","154222","51%","49%"
"336","하치 이야기","34497",NA,NA
"337","겨울왕국","100931","37%","63%"
"338","아는 여자","37888",NA,NA
"339","점박이 한반도의 공룡2 : 새로운 낙원","180379","23%","77%"
"340","스트레인저 - 무황인담","47986",NA,NA
"341","뱀파이어와의 인터뷰","17254",NA,NA
"342","늑대아이","93005","60%","40%"
"343","킹 오브 프리즘 프라이드 더 히어로","164290","6%","94%"
"344","패치 아담스","24094",NA,NA
"345","말모이","167699","40%","60%"
"346","우드잡","123688","25%","75%"
"347","노킹 온 헤븐스 도어","18871","100%",NA
"348","써니","76016",NA,NA
"349","아버지의 이름으로","16091",NA,NA
"350","다키스트 아워","150687","59%","41%"
"351","드래곤볼 슈퍼: 브로리","180687","85%","15%"
"352","트윈스터즈","137358","30%","70%"
"353","이터널 선샤인","38444","36%","64%"
"354","러브레터","19031","47%","53%"
"355","철가방 우수氏","88473",NA,NA
"356","짱구는 못말려 극장판: 정면승부! 로봇아빠의 역습","120788","25%","75%"
"357","러브 어페어","17685",NA,NA
"358","빽 투 더 퓨쳐 3","10004",NA,NA
"359","호로비츠를 위하여","56083",NA,NA
"360","분노의 질주: 더 세븐","109905","58%","42%"
"361","봄날은 간다","31801","38%","62%"
"362","패딩턴 2","146489","25%","75%"
"363","에이리언","10037","50%","50%"
"364","스탠 바이 미","10282",NA,NA
"365","나이브스 아웃","189000","50%","50%"
"366","빅 히어로","109911","30%","70%"
"367","하울의 움직이는 성","39640","31%","69%"
"368","첨밀밀","17997",NA,NA
"369","싸이코","10050","75%","25%"
"370","아나스타샤","18531",NA,NA
"371","뮬란","19128",NA,NA
"372","내일을 향해 쏴라","10019",NA,NA
"373","인터스텔라","45290","59%","41%"
"374","투캅스 3","19068",NA,NA
"375","스타워즈 에피소드 3 - 시스의 복수","30301",NA,NA
"376","공범자들","165461","42%","58%"
"377","무간도","36565",NA,NA
"378","피터팬","37880",NA,NA
"379","극장판 쿠로코의 농구 라스트 게임","156185","26%","74%"
"380","정무문","10181",NA,NA
"381","아홉살 인생","37759",NA,NA
"382","콘 에어","18173",NA,NA
"383","증인","177374","41%","59%"
"384","웨딩 드레스","53158",NA,NA
"385","용서받지 못한 자","44111",NA,NA
"386","미쓰백","155356","36%","64%"
"387","책상 서랍 속의 동화","27245",NA,NA
"388","히트","17327","81%","19%"
"389","7인의 사무라이","10609",NA,NA
"390","추격자","68695",NA,NA
"391","버킷리스트: 죽기 전에 꼭 하고 싶은 것들","69102",NA,NA
"392","호텔 뭄바이","165022","56%","44%"
"393","그해 여름","46985",NA,NA
"394","블랙 호크 다운","33410",NA,NA
"395","노팅 힐","24830","37%","63%"
"396","파이란","31475",NA,NA
"397","피케이: 별에서 온 얼간이","133402","42%","58%"
"398","사랑의 선물","182699","58%","42%"
"399","시스터 액트 2","16172",NA,NA
"400","클리프행어","14152",NA,NA
"401","보디가드","11307","43%","57%"
"402","에반게리온: 파","54973",NA,NA
"403","호텔 르완다","39813",NA,NA
"404","너는 내 운명","39654",NA,NA
"405","스타워즈 에피소드 5 - 제국의 역습","10006",NA,NA
"406","용서받지 못한 자","11502",NA,NA
"407","샤인","17970","42%","58%"
"408","인사이드 아웃","115622","30%","70%"
"409","미스비헤이비어","192623","5%","95%"
"410","아바타","62266",NA,NA
"411","첩혈쌍웅","10113","50%","50%"
"412","피아니스트 세이모어의 뉴욕 소네트","129802","25%","75%"
"413","업그레이드","174626",NA,NA
"414","구니스","10040",NA,NA
"415","캐리비안의 해적 - 블랙 펄의 저주","37148",NA,NA
"416","로건","117787","69%","31%"
"417","이프 온리","39440","41%","59%"
"418","명탐정 코난: 침묵의 15분","85094",NA,NA
"419","러브 오브 시베리아","24668",NA,NA
"420","7월 4일생","10630",NA,NA
"421","아이덴티티","36992",NA,NA
"422","록키 2","10022",NA,NA
"423","파도가 지나간 자리","125417","44%","56%"
"424","에린 브로코비치","29102",NA,NA
"425","내 깡패 같은 애인","70910",NA,NA
"426","타오르는 여인의 초상","185282","20%","80%"
"427","하치 이야기","53881",NA,NA
"428","당신이 잠든 사이에","17260",NA,NA
"429","누들","45264",NA,NA
"430","글루미 선데이","14802","38%","62%"
"431","댄서","153621","21%","79%"
"432","피의 연대기","164104","16%","84%"
"433","세븐 데이즈","60753",NA,NA
"434","리얼 스틸","76460",NA,NA
"435","노트북","38899","45%","55%"
"436","퍼펙트 월드","16208","67%","33%"
"437","배트맨 2","14012",NA,NA
"438","식스 센스","25906",NA,NA
"439","월플라워","83213",NA,NA
"440","나는 고양이로소이다","140653","26%","74%"
"441","블랙","68567","58%","42%"
"442","GROW: 인피니트의 리얼 청춘 라이프","129781","6%","94%"
"443","브루스 올마이티","36858",NA,NA
"444","올드보이","36944","100%",NA
"445","명탐정 코난 : 제로의 집행인","173019","26%","74%"
"446","하모니","53034",NA,NA
"447","제자, 옥한흠","129764","56%","44%"
"448","서프러제트","122131","100%",NA
"449","터보","97826",NA,NA
"450","다이 하드 3","17092",NA,NA
"451","인디아나 존스 - 최후의 성전","10035",NA,NA
"452","밀리언 달러 베이비","39809","71%","29%"
"453","도니 브래스코","18827",NA,NA
"454","가디언","62263",NA,NA
"455","젝스키스 에이틴","172006",NA,NA
"456","경찰서를 털어라","26677",NA,NA
"457","왕의 남자","39894","100%",NA
"458","굿바이","50724",NA,NA
"459","결혼 이야기","188056","37%","63%"
"460","아마겟돈","19147",NA,NA
"461","마이 걸","16868",NA,NA
"462","내부자들: 디 오리지널","147001","55%","45%"
"463","엑스맨: 퍼스트 클래스","76347",NA,NA
"464","로마","178097","41%","59%"
"465","레이","39434",NA,NA
"466","타샤 튜더","177335","17%","83%"
"467","볼트","47411",NA,NA
"468","영구와 땡칠이","10828",NA,NA
"469","캡틴 필립스","97696",NA,NA
"470","물랑 루즈","31882","36%","64%"
"471","서칭 포 슈가맨","91101","100%",NA
"472","세컨핸드 라이온스","37398",NA,NA
"473","스즈미야 하루히의 소실","74205",NA,NA
"474","케이 팩스","33755",NA,NA
"475","택시운전사","146469","46%","54%"
"476","메리 크리스마스","56414",NA,NA
"477","진용","11141",NA,NA
"478","박하사탕","27219","55%","45%"
"479","러시 : 더 라이벌","96372",NA,NA
"480","휘트니","174659","31%","69%"
"481","원스 어폰 어 타임 인 아메리카","10970","67%","33%"
"482","이연걸의 정무문","17265",NA,NA
"483","슈퍼스타 감사용","37929",NA,NA
"484","인디아나 존스","10034",NA,NA
"485","청설","71760","45%","55%"
"486","극장판 도라에몽:신 진구의 버스 오브 재팬","141675","30%","70%"
"487","비긴 어게인","96379","45%","55%"
"488","브이 포 벤데타","43208",NA,NA
"489","크로싱","46494",NA,NA
"490","싱 스트리트","146560","45%","55%"
"491","얼라이브","13480",NA,NA
"492","어린 의뢰인","180169","36%","64%"
"493","인생 후르츠","179694","27%","73%"
"494","불멸의 연인","17524",NA,NA
"495","토이 스토리 4","101966","40%","60%"
"496","바그다드 카페 : 디렉터스컷","16601","32%","68%"
"497","알로, 슈티","47321","29%","71%"
"498","다크 나이트 라이즈","72054","81%","19%"
"499","말레나","31231",NA,NA
"500","세상을 바꾼 변호인","137865","15%","85%"
"501","양들의 침묵","10504",NA,NA
"502","에너미 앳 더 게이트","31778",NA,NA
"503","쿵푸 팬더","62262",NA,NA
"504","스윗 프랑세즈","103331","30%","70%"
"505","성원","27899",NA,NA
"506","산이 울다","143357","52%","48%"
"507","말하는 건축가","88793","100%",NA
"508","개를 훔치는 완벽한 방법","112040","38%","62%"
"509","론 서바이버","92069","68%","32%"
"510","미져리","10489",NA,NA
"511","어네스트와 셀레스틴","95767","26%","74%"
"512","끝까지 간다","109778","53%","47%"
"513","빅뱅 메이드","149511",NA,NA
"514","국제시장","102875","49%","51%"
"515","동감","29756","33%","67%"
"516","마다가스카3 : 이번엔 서커스다!","86381",NA,NA
"517","빅 피쉬","37936",NA,NA
"518","툴리","154653","21%","79%"
"519","파리넬리","17521",NA,NA
"520","연평해전","102272","50%","50%"
"521","마이 시스터즈 키퍼","52528",NA,NA
"522","고스트 메신저 극장판","120076","14%","86%"
"523","명탐정 코난: 칠흑의 추적자","52504",NA,NA
"524","원피스 극장판 제트","98403",NA,NA
"525","조제, 호랑이 그리고 물고기들","38464","38%","62%"
"526","베테랑","115977","46%","54%"
"527","인사이드 잡","75508",NA,NA
"528","콜드 마운틴","30076",NA,NA
"529","고양이 춤","83883",NA,NA
"530","독수리 에디","136876","48%","52%"
"531","그 시절, 우리가 좋아했던 소녀","88669","51%","49%"
"532","내 이야기!!","144083",NA,NA
"533","K-19 위도우메이커","31906",NA,NA
"534","어거스트 러쉬","66158","42%","58%"
"535","메리와 맥스","53441",NA,NA
"536","종횡사해","10877","67%","33%"
"537","온워드: 단 하루의 기적","187351","31%","69%"
"538","수상한 그녀","107924","40%","60%"
"539","골!","44020",NA,NA
"540","파이브 피트","181912","33%","67%"
"541","더티 댄싱","10242",NA,NA
"542","변호인","101901","50%","50%"
"543","하이큐!! 승자와 패자","155963","14%","86%"
"544","스타쉽 트루퍼스","18682",NA,NA
"545","스플릿","146512","57%","43%"
"546","내부자들","121788","56%","44%"
"547","코알라","93749","100%",NA
"548","마녀 배달부 키키","18050","41%","59%"
"549","미션 임파서블","17626",NA,NA
"550","인턴","118917","46%","54%"
"551","록 스탁 앤 투 스모킹 배럴즈","24926",NA,NA
"552","스타워즈 에피소드 6 - 제다이의 귀환","10007",NA,NA
"553","원스","65998","35%","65%"
"554","번지 점프를 하다","30796","45%","55%"
"555","슈퍼배드","73339",NA,NA
"556","델마와 루이스","10262","48%","52%"
"557","다이노소어 어드벤처 3D","100930",NA,NA
"558","스타워즈 에피소드 4 - 새로운 희망","10005",NA,NA
"559","극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!","183772","23%","77%"
"560","블루 라군","10751",NA,NA
"561","새미의 어드벤쳐","70427",NA,NA
"562","윤희에게","182387","26%","74%"
"563","벅스 라이프","19516",NA,NA
"564","울학교 이티","69917",NA,NA
"565","레인 오버 미","57997",NA,NA
"566","극장판 마법소녀 마도카☆마기카 [전편] 시작의 이야기","100022",NA,NA
"567","해피 피트 2","77117",NA,NA
"568","마법에 걸린 사랑","68563",NA,NA
"569","제8요일","17802",NA,NA
"570","룸","130989","35%","65%"
"571","안녕, 나의 소울메이트","156912","24%","76%"
"572","소스 코드","82428",NA,NA
"573","명탐정 코난: 순흑의 악몽","149049","28%","72%"
"574","이보다 더 좋을 순 없다","18878",NA,NA
"575","브레이크다운","18488",NA,NA
"576","극장판 사이코패스","135806","67%","33%"
"577","연애소설","34362",NA,NA
"578","더 헌트","95260",NA,NA
"579","아메리칸 뷰티","26679",NA,NA
"580","무간도 3 - 종극무간","37488",NA,NA
"581","디스트릭트 9","64129",NA,NA
"582","조 블랙의 사랑","19517",NA,NA
"583","맘마미아!2","164115","27%","73%"
"584","루키","34566",NA,NA
"585","암살","121048","46%","54%"
"586","리틀 보이","129046","40%","60%"
"587","곰돌이 푸 다시 만나 행복해","168023","30%","70%"
"588","카","36799",NA,NA
"589","천녀유혼 3 - 도도도","11572",NA,NA
"590","레인 맨","10238",NA,NA
"591","씽","144938","24%","76%"
"592","영웅본색 2","10111","36%","64%"
"593","불꽃 슛 통키","21162",NA,NA
"594","마음이...","42809",NA,NA
"595","오버 더 레인보우","33870",NA,NA
"596","남매의 여름밤","189623","43%","57%"
"597","그날, 바다","173653","46%","54%"
"598","극장판 포켓몬스터 모두의 이야기","172187","24%","76%"
"599","킹콩","38097",NA,NA
"600","태양의 노래","61848","67%","33%"
"601","선물","31118",NA,NA
"602","분노의 질주: 언리미티드","74632",NA,NA
"603","분노의 질주: 더 익스트림","140731","58%","42%"
"604","터미널","38835",NA,NA
"605","어벤져스: 인피니티 워","136315","64%","36%"
"606","씨민과 나데르의 별거","83160","100%",NA
"607","배트맨 비긴즈","37439","67%","33%"
"608","카우보이 비밥 - 천국의 문","32911",NA,NA
"609","더 리더: 책 읽어주는 남자","45298","48%","52%"
"610","흐르는 강물처럼","16792","67%","33%"
"611","오만과 편견","44728",NA,NA
"612","스타트렉 다크니스","74565",NA,NA
"613","미스 리틀 선샤인","60530",NA,NA
"614","본 슈프리머시","38738",NA,NA
"615","5일의 마중","115534","35%","65%"
"616","선생 김봉두","36727",NA,NA
"617","김정일리아","53945",NA,NA
"618","우리 학교","63445",NA,NA
"619","엣지 오브 투모로우","90589","64%","36%"
"620","솔드 아웃","17764",NA,NA
"621","우린 액션배우다","68934",NA,NA
"622","피아노의 숲","68498","29%","71%"
"623","48미터","93094",NA,NA
"624","인비저블 게스트","159516","50%","50%"
"625","내 마음의 풍금","23859",NA,NA
"626","키즈 리턴","26537","54%","46%"
"627","가부와 메이 이야기","57278","50%","50%"
"628","스노우 워커","39568",NA,NA
"629","러브 액츄얼리","36843","50%","50%"
"630","극장판 소드 아트 온라인 -오디널 스케일-","159408","78%","22%"
"631","천녀유혼 2 - 인간도","10686",NA,NA
"632","스윙걸즈","39524",NA,NA
"633","불가사리","10532",NA,NA
"634","파인딩 포레스터","31524",NA,NA
"635","가디언즈 오브 갤럭시 VOL. 2","127398","62%","38%"
"636","파니 핑크","24157",NA,NA
"637","존 큐","33422",NA,NA
"638","진링의 13소녀","81890",NA,NA
"639","게임의 법칙","17143",NA,NA
"640","극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트, 뮤츠의 각성","109466","36%","64%"
"641","리오","76455",NA,NA
"642","초콜렛 도넛","93236","28%","72%"
"643","A-특공대","50598",NA,NA
"644","비투스","62390",NA,NA
"645","퍼펙트 게임","76048",NA,NA
"646","극장판 나루토 질풍전: 로드 투 닌자","96968",NA,NA
"647","티벳에서의 7년","18865",NA,NA
"648","앨빈과 슈퍼밴드","45130",NA,NA
"649","기쿠지로의 여름","27350","47%","53%"
"650","극장판 슈타인즈 게이트: 부하영역의 데자뷰","107748",NA,NA
"651","대니쉬 걸","51787","21%","79%"
"652","시카고","36590","33%","67%"
"653","미션","10086","56%","44%"
"654","신세계","91031","25%","75%"
"655","미쓰 와이프","129406","36%","64%"
"656","소년은 울지 않는다","27109",NA,NA
"657","스포트라이트","129072","46%","54%"
"658","인어 공주","37739",NA,NA
"659","아홉 스님","193990","30%","70%"
"660","죠스","10029",NA,NA
"661","덤보","163787","35%","65%"
"662","나의 특별한 형제","175366","43%","57%"
"663","굿바이 레닌","37409",NA,NA
"664","뜨거운 안녕","97652",NA,NA
"665","스카페이스","10330",NA,NA
"666","행복을 찾아서","64354",NA,NA
"667","서치","172425","45%","55%"
"668","시","70562","100%",NA
"669","주먹이 운다","39399",NA,NA
"670","레이더스","10033",NA,NA
"671","원피스 필름 골드","146214","57%","43%"
"672","부러진 화살","87571",NA,NA
"673","아이언맨","44885",NA,NA
"674","하이큐!! 끝과 시작","140803","14%","86%"
"675","노무현입니다","162173","43%","57%"
"676","그것만이 내 세상","158180","45%","55%"
"677","캡틴 아메리카: 윈터 솔져","96327","64%","36%"
"678","루이스","178214","26%","74%"
"679","볼케이노","18318",NA,NA
"680","드래곤 길들이기 2","76020","31%","69%"
"681","마담 프루스트의 비밀정원","113170","24%","76%"
"682","꼬마 니콜라","72393",NA,NA
"683","캐리비안의 해적 - 망자의 함","43678",NA,NA
"684","여행자","51049",NA,NA
"685","극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드","146944","25%","75%"
"686","벤자민 버튼의 시간은 거꾸로 간다","66091","32%","68%"
"687","투 브라더스","38907",NA,NA
"688","엘리트 스쿼드 2","82323",NA,NA
"689","서편제","16906","33%","67%"
"690","사랑 후에 남겨진 것들","50785","50%","50%"
"691","다만, 널 사랑하고 있어","64080",NA,NA
"692","다이 하드 4.0","40133",NA,NA
"693","하녀","23525",NA,NA
"694","무서운 집","126389","48%","52%"
"695","매디슨 카운티의 다리","17255","29%","71%"
"696","내니 맥피 2 - 유모와 마법소동","73018",NA,NA
"697","해리가 샐리를 만났을 때","10250","75%","25%"
"698","페어리테일: 봉황의 무녀","94194",NA,NA
"699","비밥바룰라","151254","67%","33%"
"700","록키 발보아","62556",NA,NA
"701","웰컴 투 동막골","39405",NA,NA
"702","담보","183866","48%","52%"
"703","배심원들","177483","35%","65%"
"704","좋은 친구들","10640",NA,NA
"705","심연","11092",NA,NA
"706","100일 동안 100가지로 100퍼센트 행복찾기","183377","32%","68%"
"707","디어 헌터","10128","100%",NA
"708","미이라 2","31271",NA,NA
"709","바르다가 사랑한 얼굴들","162854","29%","71%"
"710","장수상회","120125","39%","61%"
"711","노다메 칸타빌레 최종악장","73075",NA,NA
"712","나는 내일, 어제의 너와 만난다","157178","56%","44%"
"713","앙: 단팥 인생 이야기","139523","32%","68%"
"714","쉬즈 더 맨","45719",NA,NA
"715","스파이더맨","31307",NA,NA
"716","소림축구","33082",NA,NA
"717","와일드 카드","35991",NA,NA
"718","명탐정 코난: 은빛 날개의 마술사","38615",NA,NA
"719","원초적 본능","10742",NA,NA
"720","마당을 나온 암탉","41585",NA,NA
"721","해리 포터와 비밀의 방","33930",NA,NA
"722","앨빈과 슈퍼밴드 2","70637",NA,NA
"723","얼라이드","149777","49%","51%"
"724","슈렉","31579",NA,NA
"725","디태치먼트","82239","40%","60%"
"726","페르디난드","160491","18%","82%"
