Country Name,Country Code,Continent,Life Expectation,OECD
Peru,PER,South America,76.516,FALSE
Philippines,PHL,Asia,71.095,FALSE
Papua New Guinea,PNG,Oceania,64.263,FALSE
Poland,POL,Europe,77.75365854,TRUE
Puerto Rico,PRI,South America,79.77819512,FALSE
Portugal,PRT,Europe,81.72439024,TRUE
Paraguay,PRY,South America,74.131,FALSE
Qatar,QAT,Middle East,80.1,FALSE
Romania,ROU,Europe,75.4097561,FALSE
Russian Federation,RUS,Europe,72.65731707,FALSE
Rwanda,RWA,Africa,68.7,FALSE
Saudi Arabia,SAU,Middle East,74.998,FALSE
Sudan,SDN,Africa,65.095,FALSE
Senegal,SEN,Africa,67.665,FALSE
Singapore,SGP,Asia,83.14634146,FALSE
Solomon Islands,SLB,Oceania,72.835,FALSE
Sierra Leone,SLE,Africa,54.309,FALSE
El Salvador,SLV,South America,73.096,FALSE
Somalia,SOM,Africa,57.068,FALSE
Serbia,SRB,Europe,75.53902439,FALSE
South Sudan,SSD,Africa,57.604,FALSE
Suriname,SUR,South America,71.57,FALSE
Slovak Republic,SVK,Europe,77.16585366,TRUE
Slovenia,SVN,Europe,81.02926829,TRUE
Sweden,SWE,Europe,82.51219512,TRUE
Eswatini,SWZ,Africa,59.401,FALSE
Seychelles,SYC,Africa,72.84146341,FALSE
Chad,TCD,Africa,53.977,FALSE
Togo,TGO,Africa,60.76,FALSE
Thailand,THA,Asia,76.931,FALSE
Tajikistan,TJK,Asia,70.879,FALSE
Turkmenistan,TKM,Asia,68.073,FALSE
Timor-Leste,TLS,Asia,69.26,FALSE
Tonga,TON,Oceania,70.801,FALSE
Tunisia,TUN,Africa,76.505,FALSE
Turkey,TUR,Asia,77.437,TRUE
Tanzania,TZA,Africa,65.015,FALSE
Uganda,UGA,Africa,62.973,FALSE
Ukraine,UKR,Asia,71.58268293,FALSE
Uruguay,URY,Europe,77.77,FALSE
United States,USA,North America,78.53902439,TRUE
Uzbekistan,UZB,Asia,71.573,FALSE
St. Vincent and the Grenadines,VCT,South America,72.415,FALSE
Venezuela,VEN,South America,72.128,FALSE
Virgin Islands (U.S.),VIR,North America,79.56829268,FALSE
Vietnam,VNM,Asia,75.317,FALSE
Vanuatu,VUT,Oceania,70.323,FALSE
Samoa,WSM,Oceania,73.187,FALSE
Kosovo,XKX,Europe,72.19512195,FALSE
"Yemen, Rep.",YEM,Middle East,66.096,FALSE
South Africa,ZAF,Africa,63.857,FALSE
Zambia,ZMB,Africa,63.51,FALSE
Zimbabwe,ZWE,Africa,61.195,FALSE
