Country Name,Country Code,Continent,GDP,Life Expectation,OECD
"Macao SAR, China",MAC,Asia,87208.53591,84.118,FALSE
Morocco,MAR,Africa,3222.200634,76.453,FALSE
Moldova,MDA,Europe,3227.312192,71.808,FALSE
Madagascar,MDG,South America,527.501285,66.681,FALSE
Maldives,MDV,Asia,10330.61561,78.627,FALSE
Mexico,MEX,North America,9673.443674,74.992,TRUE
North Macedonia,MKD,Europe,6083.718948,75.688,FALSE
Mali,MLI,Africa,899.6599081,58.893,FALSE
Malta,MLT,Europe,30098.28331,82.34634146,FALSE
Myanmar,MMR,Asia,1325.952924,66.867,FALSE
Montenegro,MNE,Europe,8844.236985,76.77,FALSE
Mongolia,MNG,Asia,4121.732435,69.689,FALSE
Mozambique,MOZ,Africa,498.9572202,60.163,FALSE
Mauritania,MRT,Africa,1188.834588,64.704,FALSE
Mauritius,MUS,Africa,11238.69039,74.41634146,FALSE
Malawi,MWI,Africa,389.3980332,63.798,FALSE
Malaysia,MYS,Asia,11373.233,75.997,FALSE
Namibia,NAM,Africa,5931.453886,63.373,FALSE
Niger,NER,Africa,413.980305,62.024,FALSE
Nigeria,NGA,Africa,2028.18197,54.332,FALSE
Nicaragua,NIC,South America,2028.894755,74.275,FALSE
Netherlands,NLD,Europe,53024.05921,81.76097561,TRUE
Norway,NOR,Europe,81697.24598,82.81219512,TRUE
Nepal,NPL,Asia,1033.912431,70.478,FALSE
New Zealand,NZL,Oceania,41945.33167,81.85853659,TRUE
Oman,OMN,Middle East,16415.15728,77.633,FALSE
Pakistan,PAK,Asia,1482.403063,67.114,FALSE
Panama,PAN,South America,15575.07255,78.329,FALSE
Peru,PER,South America,6941.235848,76.516,FALSE
Philippines,PHL,Asia,3102.713363,71.095,FALSE
Papua New Guinea,PNG,Oceania,2730.274799,64.263,FALSE
Poland,POL,Europe,15420.91116,77.75365854,TRUE
Puerto Rico,PRI,South America,31651.34815,79.77819512,FALSE
Portugal,PRT,Europe,23407.90659,81.72439024,TRUE
Paraguay,PRY,South America,5821.814323,74.131,FALSE
Qatar,QAT,Middle East,68793.78444,80.1,FALSE
Romania,ROU,Europe,12301.1864,75.4097561,FALSE
Russian Federation,RUS,Europe,11288.88,72.65731707,FALSE
Rwanda,RWA,Africa,772.9444599,68.7,FALSE
Saudi Arabia,SAU,Middle East,23338.96346,74.998,FALSE
Sudan,SDN,Africa,977.2736357,65.095,FALSE
Senegal,SEN,Africa,1521.953554,67.665,FALSE
