Country Name,Country Code,Continent,GDP,OECD
Nicaragua,NIC,South America,2028.894755,FALSE
Netherlands,NLD,Europe,53024.05921,TRUE
Norway,NOR,Europe,81697.24598,TRUE
Nepal,NPL,Asia,1033.912431,FALSE
New Zealand,NZL,Oceania,41945.33167,TRUE
Oman,OMN,Middle East,16415.15728,FALSE
Pakistan,PAK,Asia,1482.403063,FALSE
Panama,PAN,South America,15575.07255,FALSE
Peru,PER,South America,6941.235848,FALSE
Philippines,PHL,Asia,3102.713363,FALSE
Papua New Guinea,PNG,Oceania,2730.274799,FALSE
Poland,POL,Europe,15420.91116,TRUE
Puerto Rico,PRI,South America,31651.34815,FALSE
Portugal,PRT,Europe,23407.90659,TRUE
Paraguay,PRY,South America,5821.814323,FALSE
Qatar,QAT,Middle East,68793.78444,FALSE
Romania,ROU,Europe,12301.1864,FALSE
Russian Federation,RUS,Europe,11288.88,FALSE
Rwanda,RWA,Africa,772.9444599,FALSE
Saudi Arabia,SAU,Middle East,23338.96346,FALSE
Sudan,SDN,Africa,977.2736357,FALSE
Senegal,SEN,Africa,1521.953554,FALSE
Singapore,SGP,Asia,64581.94402,FALSE
Solomon Islands,SLB,Oceania,2137.690695,FALSE
Sierra Leone,SLE,Africa,533.9911843,FALSE
El Salvador,SLV,South America,4058.252439,FALSE
Somalia,SOM,Africa,314.5441657,FALSE
Serbia,SRB,Europe,7246.731656,FALSE
South Sudan,SSD,Africa,1119.651332,FALSE
Suriname,SUR,South America,6234.044922,FALSE
Slovak Republic,SVK,Europe,19442.70576,TRUE
Slovenia,SVN,Europe,26123.97387,TRUE
Sweden,SWE,Europe,54608.36025,TRUE
Eswatini,SWZ,Africa,4145.974112,FALSE
Seychelles,SYC,Africa,16433.93529,FALSE
Chad,TCD,Africa,728.3432354,FALSE
Togo,TGO,Africa,679.2570836,FALSE
Thailand,THA,Asia,7273.563207,FALSE
Tajikistan,TJK,Asia,826.6215305,FALSE
Turkmenistan,TKM,Asia,6966.635411,FALSE
Timor-Leste,TLS,Asia,2035.533908,FALSE
Tonga,TON,Oceania,4364.015561,FALSE
Tunisia,TUN,Africa,3447.50791,FALSE
Turkey,TUR,Asia,9370.176344,TRUE
Tanzania,TZA,Africa,1060.994615,FALSE
Uganda,UGA,Africa,642.7767443,FALSE
Ukraine,UKR,Asia,3095.173581,FALSE
Uruguay,URY,Europe,17277.97011,FALSE
United States,USA,North America,62794.58565,TRUE
Uzbekistan,UZB,Asia,1532.371677,FALSE
St. Vincent and the Grenadines,VCT,South America,7361.400962,FALSE
Venezuela,VEN,South America,16054.49051,FALSE
Virgin Islands (U.S.),VIR,North America,35938.02439,FALSE
Vietnam,VNM,Asia,2566.59695,FALSE
Vanuatu,VUT,Oceania,3123.893396,FALSE
Samoa,WSM,Oceania,4183.407935,FALSE
Kosovo,XKX,Europe,4302.276483,FALSE
"Yemen, Rep.",YEM,Middle East,944.4084994,FALSE
South Africa,ZAF,Africa,6374.028196,FALSE
Zambia,ZMB,Africa,1539.900158,FALSE
Zimbabwe,ZWE,Africa,2146.996385,FALSE
